ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
QQQ260702C00676000,QQQ,676.0,2026-07-02,call,61.55,1,6155.0,737.29,2,0.5236,0.9882,0.001076,-0.2898,0.0168,0.0365,2026-06-30T19:56:37.740519Z,2026-06-30T19:56:54.922711Z
QQQ260702P00676000,QQQ,676.0,2026-07-02,put,0.04,407,3396.0,725.27,1,0.5391,-0.006,0.000833,-0.1741,0.0065,-0.0001,2026-07-01T20:07:15.193059Z,2026-07-01T20:07:36.968972Z
QQQ260702C00677000,QQQ,677.0,2026-07-02,call,46.76,2,9352.0,715.74,20,0.3202,0.7903,0.005362,-0.4405,0.4819,0.2843,2026-06-12T13:39:20.331118Z,2026-06-12T13:39:22.135321Z
QQQ260702P00677000,QQQ,677.0,2026-07-02,put,0.04,345,2362.0,725.27,1,0.5291,-0.0061,0.000862,-0.1735,0.0066,-0.0001,2026-07-01T20:11:27.026155Z,2026-07-01T20:11:39.104609Z
QQQ260702C00678000,QQQ,678.0,2026-07-02,call,58.22,8,46390.0,735.88,2,0.5361,0.9816,0.00154,-0.3983,0.0245,0.0364,2026-06-30T17:41:09.550365Z,2026-06-30T17:41:17.577956Z
QQQ260702P00678000,QQQ,678.0,2026-07-02,put,0.05,701,4806.0,725.27,1,0.5328,-0.0075,0.001019,-0.2078,0.0078,-0.0001,2026-07-01T20:11:56.126747Z,2026-07-01T20:12:09.180197Z
QQQ260702C00679000,QQQ,679.0,2026-07-02,call,31.08,1,3108.0,706.9,6,0.3367,0.8337,0.008172,-0.6932,0.226,0.0918,2026-06-26T20:14:03.137521Z,2026-06-26T20:14:04.157304Z
QQQ260702P00679000,QQQ,679.0,2026-07-02,put,0.05,911,8723.0,725.27,1,0.5225,-0.0076,0.001055,-0.207,0.0079,-0.0002,2026-07-01T20:12:22.448503Z,2026-07-01T20:12:39.854277Z
QQQ260702C00680000,QQQ,680.0,2026-07-02,call,47.67,48,235112.0,727.53,1,0.5545,0.9905,0.001206,-0.3399,0.0097,0.0184,2026-07-01T18:25:59.535360Z,2026-07-01T18:26:21.973932Z
QQQ260702P00680000,QQQ,680.0,2026-07-02,put,0.05,2103,16481.0,725.27,1,0.5122,-0.0077,0.001094,-0.2062,0.0081,-0.0002,2026-07-01T20:11:08.945582Z,2026-07-01T20:11:39.104609Z
QQQ260702C00681000,QQQ,681.0,2026-07-02,call,48.88,1,4888.0,729.94,1,0.5699,0.9692,0.002235,-0.6082,0.0378,0.036,2026-07-01T15:16:32.733012Z,2026-07-01T15:16:36.412329Z
QQQ260702P00681000,QQQ,681.0,2026-07-02,put,0.06,972,8869.0,725.27,1,0.5133,-0.0091,0.00126,-0.2385,0.0093,-0.0002,2026-07-01T20:06:55.166130Z,2026-07-01T20:07:06.878903Z
QQQ260702C00682000,QQQ,682.0,2026-07-02,call,31.59,13,45195.0,709.36,6,0.3748,0.8039,0.008113,-0.8428,0.2515,0.0885,2026-06-26T18:32:01.268866Z,2026-06-26T18:32:05.818631Z
QQQ260702P00682000,QQQ,682.0,2026-07-02,put,0.07,1143,8337.0,725.27,1,0.5128,-0.0105,0.001425,-0.2692,0.0105,-0.0002,2026-07-01T20:07:36.974619Z,2026-07-01T20:08:07.032675Z
QQQ260702C00683000,QQQ,683.0,2026-07-02,call,46.94,1,4694.0,729.33,1,0.7497,0.9549,0.003315,-1.4263,0.0362,0.0178,2026-07-01T16:33:12.130403Z,2026-07-01T16:33:26.616960Z
QQQ260702P00683000,QQQ,683.0,2026-07-02,put,0.07,1219,9059.0,725.27,1,0.5022,-0.0107,0.00148,-0.268,0.0107,-0.0002,2026-07-01T20:11:37.994546Z,2026-07-01T20:11:39.104609Z
