id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
223886668,2026-07-10T13:42:06.968905Z,TSLA,TSLA260713C00407500,407.5,2026-07-13,call,5.49,50,27450.0,406.94,3,0.3866,0.4955,0.027971,-0.9724,0.1472,0.0161
223885848,2026-07-10T13:42:05.836036Z,TSLA,TSLA260717P00440000,440.0,2026-07-17,put,34.56,8,27648.0,406.94,7,0.4945,-0.863,0.007871,-0.3891,0.1236,-0.074
223885315,2026-07-10T13:42:05.082687Z,TSLA,TSLA260807C00420000,420.0,2026-08-07,call,16.8,25,42000.0,406.94,28,0.4855,0.4435,0.007218,-0.4061,0.4451,0.1256
223885297,2026-07-10T13:42:05.061138Z,TSLA,TSLA260713C00372500,372.5,2026-07-13,call,34.45,10,34450.0,406.94,3,,,,,,
223884882,2026-07-10T13:42:04.502936Z,TSLA,TSLA260821C00410000,410.0,2026-08-21,call,25.27,10,25270.0,406.94,42,0.4673,0.5258,0.006171,-0.329,0.5496,0.2171
223884421,2026-07-10T13:42:03.771500Z,TSLA,TSLA260717C00430000,430.0,2026-07-17,call,3.05,100,30500.0,406.94,7,0.4681,0.2105,0.010942,-0.554,0.1627,0.0158
223884241,2026-07-10T13:42:03.531191Z,TSLA,TSLA260717C00430000,430.0,2026-07-17,call,3.05,100,30500.0,406.94,7,0.4681,0.2105,0.010942,-0.554,0.1627,0.0158
223884226,2026-07-10T13:42:03.509943Z,TSLA,TSLA260713C00372500,372.5,2026-07-13,call,34.26,10,34260.0,406.94,3,,,,,,
223884044,2026-07-10T13:42:03.257883Z,TSLA,TSLA260821C00440000,440.0,2026-08-21,call,14.2,30,42600.0,406.94,42,0.4702,0.3529,0.005724,-0.303,0.5128,0.1489
223882096,2026-07-10T13:42:00.592399Z,TSLA,TSLA260713C00377500,377.5,2026-07-13,call,29.47,10,29470.0,406.94,3,,,,,,
223881904,2026-07-10T13:42:00.357931Z,TSLA,TSLA260720C00420000,420.0,2026-07-20,call,6.45,100,64500.0,406.94,10,0.4276,0.347,0.012819,-0.5483,0.2487,0.0369
