ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
SPY260702P00654000,SPY,654.0,2026-07-02,put,0.04,23,86.0,735.17,3,0.4904,-0.0039,0.000355,-0.063,0.0077,-0.0002,2026-06-29T14:09:33.662045Z,2026-06-29T14:09:59.460213Z
SPY260702C00655000,SPY,655.0,2026-07-02,call,92.13,6,54168.0,746.9,1,1.1181,0.9885,0.000687,-0.7102,0.0117,0.0177,2026-07-01T14:55:30.912883Z,2026-07-01T14:56:02.672504Z
SPY260702P00655000,SPY,655.0,2026-07-02,put,0.01,1,1.0,747.08,1,0.8269,-0.0011,0.000113,-0.0592,0.0014,-0.0,2026-07-01T18:20:13.975595Z,2026-07-01T18:20:16.416525Z
SPY260702C00656000,SPY,656.0,2026-07-02,call,96.77,34,329018.0,752.63,16,,,,,,,2026-06-16T17:16:06.246378Z,2026-06-16T17:16:14.080190Z
SPY260702P00656000,SPY,656.0,2026-07-02,put,0.02,11,22.0,747.66,2,0.6188,-0.002,0.000183,-0.0536,0.0035,-0.0001,2026-06-30T19:22:09.119246Z,2026-06-30T19:22:36.010707Z
SPY260702C00657000,SPY,657.0,2026-07-02,call,91.95,2,18387.0,748.74,1,1.0956,0.9895,0.000645,-0.6485,0.0109,0.0178,2026-07-01T16:00:22.345987Z,2026-07-01T16:00:43.354284Z
SPY260702P00657000,SPY,657.0,2026-07-02,put,0.01,5,5.0,746.98,2,0.5721,-0.0011,0.000118,-0.0295,0.0021,-0.0,2026-06-30T19:36:47.858504Z,2026-06-30T19:36:53.277088Z
SPY260702C00658000,SPY,658.0,2026-07-02,call,91.04,2,18205.0,748.74,1,1.1543,0.985,0.000837,-0.9103,0.0148,0.0177,2026-07-01T16:00:22.625585Z,2026-07-01T16:00:43.354284Z
SPY260702P00658000,SPY,658.0,2026-07-02,put,0.02,11,22.0,746.26,2,0.5977,-0.002,0.000196,-0.0533,0.0036,-0.0001,2026-06-30T16:15:02.401116Z,2026-06-30T16:15:21.335927Z
SPY260702C00659000,SPY,659.0,2026-07-02,call,90.03,2,17801.0,748.68,1,1.1732,0.9825,0.000937,-1.0439,0.0169,0.0177,2026-07-01T15:44:10.845204Z,2026-07-01T15:44:22.279027Z
SPY260702P00659000,SPY,659.0,2026-07-02,put,0.03,2,6.0,738.32,3,0.4636,-0.0032,0.000308,-0.0492,0.0064,-0.0002,2026-06-29T13:41:27.233004Z,2026-06-29T13:41:56.298147Z
SPY260702C00660000,SPY,660.0,2026-07-02,call,87.29,3,26348.0,747.08,1,1.0456,0.9891,0.000703,-0.6418,0.0112,0.0179,2026-07-01T18:31:46.086365Z,2026-07-01T18:32:00.556218Z
SPY260702P00660000,SPY,660.0,2026-07-02,put,0.01,2,2.0,747.23,1,0.784,-0.0012,0.000125,-0.0587,0.0015,-0.0,2026-07-01T19:05:10.066851Z,2026-07-01T19:05:19.295484Z
SPY260702C00661000,SPY,661.0,2026-07-02,call,91.73,8,73367.0,752.5,16,,,,,,,2026-06-16T17:11:42.135216Z,2026-06-16T17:12:08.411143Z
SPY260702P00661000,SPY,661.0,2026-07-02,put,0.03,3,9.0,737.15,3,0.4466,-0.0033,0.000331,-0.0489,0.0066,-0.0002,2026-06-29T13:32:18.051230Z,2026-06-29T13:32:32.200321Z
SPY260702C00662000,SPY,662.0,2026-07-02,call,85.27,5,42547.0,747.04,1,1.0394,0.9877,0.00078,-0.6988,0.0124,0.0179,2026-07-01T15:01:56.682637Z,2026-07-01T15:02:13.063674Z
SPY260702P00662000,SPY,662.0,2026-07-02,put,0.01,16,16.0,747.12,2,0.5417,-0.0012,0.000131,-0.0292,0.0022,-0.0,2026-06-30T19:35:41.232652Z,2026-06-30T19:35:52.621183Z
SPY260702C00663000,SPY,663.0,2026-07-02,call,84.36,5,42092.0,747.04,1,1.0903,0.983,0.000986,-0.9502,0.0164,0.0178,2026-07-01T15:01:56.642039Z,2026-07-01T15:02:13.063674Z
SPY260702P00663000,SPY,663.0,2026-07-02,put,0.01,30,30.0,746.54,1,0.7523,-0.0012,0.000135,-0.0584,0.0016,-0.0,2026-07-01T19:52:01.117203Z,2026-07-01T19:52:19.309082Z
SPY260702C00664000,SPY,664.0,2026-07-02,call,72.57,2,14514.0,735.02,9,0.4085,0.948,0.002246,-0.3295,0.1222,0.1539,2026-06-23T19:38:39.334354Z,2026-06-23T19:38:58.058347Z
