ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
TSLA260702P00330000,TSLA,330.0,2026-07-02,put,0.02,757.0,1872.0,426.7,1,1.7102,-0.0018,0.000148,-0.1081,0.0013,-0.0,2026-07-01T19:50:44.313844Z,2026-07-01T19:50:46.616788Z,False,-19441.6703691364
TSLA260702C00332500,TSLA,332.5,2026-07-02,call,45.03,237.0,1018874.0,376.44,6,0.6461,0.9393,0.003857,-0.3506,0.058,0.0507,2026-06-26T14:23:05.165939Z,2026-06-26T14:23:10.617979Z,True,-158625.85115017413
TSLA260702P00332500,TSLA,332.5,2026-07-02,put,0.02,1658.0,3329.0,426.59,1,1.6625,-0.0018,0.000156,-0.1077,0.0013,-0.0,2026-07-01T19:41:45.072697Z,2026-07-01T19:42:05.209591Z,False,-44883.3335502552
TSLA260702C00335000,TSLA,335.0,2026-07-02,call,91.95,1.0,9195.0,428.1,1,1.334,0.9606,0.001713,-0.7452,0.0318,0.0261,2026-07-01T15:56:45.127586Z,2026-07-01T15:57:07.278791Z,True,-297.25785767369996
TSLA260702P00335000,TSLA,335.0,2026-07-02,put,0.03,87.0,458.0,426.97,1,1.6862,-0.0026,0.000214,-0.1515,0.0018,-0.0,2026-07-01T17:13:10.199282Z,2026-07-01T17:13:18.721339Z,False,-3230.7920573081997
TSLA260702C00337500,TSLA,337.5,2026-07-02,call,40.64,110.0,438070.0,376.91,6,0.6109,0.9277,0.004664,-0.3769,0.0665,0.0508,2026-06-26T14:24:15.684147Z,2026-06-26T14:24:45.226279Z,True,-89028.121016296
TSLA260702P00337500,TSLA,337.5,2026-07-02,put,0.07,101.0,835.0,426.31,1,1.7832,-0.0054,0.000388,-0.3065,0.0034,-0.0001,2026-07-01T19:44:09.404998Z,2026-07-01T19:44:38.715484Z,False,-6800.315777301201
TSLA260702C00340000,TSLA,340.0,2026-07-02,call,86.74,27.0,241063.0,426.71,1,1.6693,0.9959,0.000321,-0.2652,0.0027,0.0093,2026-07-01T19:51:45.721197Z,2026-07-01T19:51:49.007861Z,True,-1503.9894059882997
TSLA260702P00340000,TSLA,340.0,2026-07-02,put,0.02,269.0,927.0,426.12,1,1.5188,-0.002,0.000185,-0.1063,0.0014,-0.0,2026-07-01T19:56:57.712011Z,2026-07-01T19:57:27.385180Z,False,-8635.7485622485
TSLA260702C00342500,TSLA,342.5,2026-07-02,call,86.0,3.0,25428.0,427.73,1,2.3933,0.9669,0.001376,-2.0159,0.0165,0.009,2026-07-01T15:05:40.914726Z,2026-07-01T15:05:47.946251Z,True,-716.3341719071999
TSLA260702P00342500,TSLA,342.5,2026-07-02,put,0.04,165.0,1025.0,426.25,1,1.5808,-0.0036,0.000306,-0.1903,0.0024,-0.0,2026-07-01T19:54:33.360160Z,2026-07-01T19:54:52.955531Z,False,-8761.558221801
TSLA260702C00345000,TSLA,345.0,2026-07-02,call,80.5,19.0,157828.0,425.3,1,1.7882,0.9888,0.000739,-0.6271,0.0065,0.0093,2026-07-01T17:58:59.927227Z,2026-07-01T17:59:19.480009Z,True,-2436.5426617609
TSLA260702P00345000,TSLA,345.0,2026-07-02,put,0.04,121.0,596.0,426.7,1,1.5399,-0.0037,0.000321,-0.1895,0.0025,-0.0,2026-07-01T19:50:33.393689Z,2026-07-01T19:50:46.616788Z,False,-6740.100671280899
TSLA260702C00347500,TSLA,347.5,2026-07-02,call,77.82,10.0,77885.0,425.25,1,1.4131,0.9972,0.000275,-0.1786,0.0019,0.0095,2026-07-01T18:53:14.411010Z,2026-07-01T18:53:28.366696Z,True,-477.209053475
TSLA260702P00347500,TSLA,347.5,2026-07-02,put,0.09,32.0,220.0,424.29,1,1.5971,-0.0075,0.000585,-0.3676,0.0046,-0.0001,2026-07-01T18:45:21.693480Z,2026-07-01T18:45:47.025208Z,False,-3248.492174928
